id;nome;email;telefone;valor_total;valor_com_desconto
8056;Nia Nickle;noodles@sbcglobal.net;+555919295629;45.45;29.54
8094;Charisse Baltes;heine@aol.com;;45.44;39.99
8087;Shaunna Myers;tezbo@yahoo.ca;+554262968278;7.00;3.85
8019;Del Mayorga;aukjan@icloud.com;+552643852009;45.44;45.44
8027;Kandis Marchan;lstein@mac.com;+552096201483;10009.00;9208.28
8006;Myesha Vester;galbra@att.net;+556675841597;345.66;48.39
8041;Marietta Longley;krueger@live.com;+555899399074;99.90;99.90
8067;Vernell Tarr;yzheng@msn.com;+558597302692;99.90;94.91
8057;Syreeta Gilland;imightb@outlook.com;+554465588400;345.04;313.99
8068;Angelena Nettleton;sthomas@comcast.net;+555953141274;10.00;9.30
8010;Tashia Rasor;claesjac@hotmail.com;;23.45;12.90
8044;Cammie Nason;duchamp@yahoo.ca;+559042098844;95.85;92.02
8086;Jerica Eason;sthomas@optonline.net;+553203760680;10.00;8.80
8040;Lea Palencia;kidehen@optonline.net;+552665235211;878.45;878.45
8037;Marnie Gilmore;naoya@yahoo.ca;;45.34;45.34
8053;Ciera Weglarz;pavel@gmail.com;+553074606844;56.33;47.88
8055;Hildred Toll;bachmann@gmail.com;+556087208436;425.66;195.80
8001;Nannette Buse;lcheng@icloud.com;+556158902584;434.23;56.45
8017;Bessie Pressman;kjohnson@mac.com;+556753988151;343.34;195.70
8064;Herb Sheats;fwiles@aol.com;;55.00;53.35
8008;Christoper Kier;wmszeliga@msn.com;;23.45;23.45
8081;Jeneva Nesby;oster@me.com;+557636607815;435.22;413.46
8012;Raymundo Sawicki;parsimony@yahoo.ca;;45.44;10.91
8084;Eryn Coatney;daveewart@comcast.net;+558528870416;84.33;46.38
8039;Madie Brodeur;fwiles@aol.com;+557435436464;96.96;63.99
8080;Dell Burrus;kewley@me.com;+558686466765;45.45;15.45
8036;Jesica Sanger;madler@icloud.com;+552395047089;84.33;84.33
8026;Xochitl Spain;solomon@outlook.com;+553369730677;990.93;336.92
8045;Hoyt Greenan;dleconte@gmail.com;;435.22;435.22
8073;Shella Wold;satishr@gmail.com;+556406505262;345.66;221.22
8021;Sang Drexler;improv@yahoo.ca;+555226566015;345.09;310.58
8065;Katerine Ledger;rhavyn@live.com;;878.45;852.10
8070;Patti Catalfamo;janusfury@me.com;+558853468712;875.06;875.06
8033;Lacie Dewall;ateniese@aol.com;+556267265426;10009.00;9708.73
8054;Tasha Pergande;podmaster@sbcglobal.net;+557354898413;345.66;328.38
8077;Mae Crays;shazow@yahoo.ca;;666.00;639.36
8038;Andra Rudy;gknauss@msn.com;+555335293355;425.66;280.94
8043;Pamela Fernald;nimaclea@live.com;;12.00;2.88
8031;Brunilda Yarnall;danneng@aol.com;+552902243362;434.23;282.25
8023;Kia Langlais;aglassis@gmail.com;+556157993644;45.34;43.07
8098;Melba Wages;haddawy@optonline.net;+555927133780;345.33;345.33
8005;Ivy Schwabe;rohitm@gmail.com;+557175188335;65.90;63.26
8052;Andree Nagle;bbirth@outlook.com;;23.09;23.09
8074;Antionette Victory;rasca@verizon.net;+554523757620;7.00;7.00
8025;Rosetta Weddington;bastian@yahoo.ca;;345.12;345.12
8032;Gretta Leonard;ehood@comcast.net;+559216742547;3453.89;3177.58
8075;Cleo Devino;chrisk@aol.com;+555807804704;990.93;990.93
8091;Yajaira Musich;hellfire@gmail.com;+554452611851;345.33;328.06
8020;Stuart Cartwright;sakusha@sbcglobal.net;+556958684478;949.52;949.52
8047;Kristin Aispuro;matloff@outlook.com;+559387938984;990.93;951.29
8085;Anja Staab;murty@att.net;+556927126321;345.33;120.87
8060;Janey Stennett;mcmillan@mac.com;;654.45;497.38
8066;Marcela Metz;zwood@icloud.com;+559766340841;65.90;36.25
8063;Delorse Stpeter;johndo@mac.com;+552597712878;95.85;95.85
8076;Camille Roberge;fallorn@gmail.com;+552316978113;949.52;949.52
8099;Alona Wagner;evans@sbcglobal.net;;1000.00;570.00
8059;Francesca Ollis;avalon@optonline.net;+558968169050;425.66;391.61
8002;Faye Leavell;johnbob@sbcglobal.net;;345.12;300.25
8058;Jama Arn;preneel@aol.com;+556065570751;343.34;326.17
8013;Luella Brinks;tsuruta@msn.com;+559942959644;23.09;20.32
8078;Glenna Mahlum;oechslin@msn.com;+557757295175;23.45;21.34
8003;Monte Loberg;pappp@aol.com;+558102434291;12.00;11.16
8062;Henrietta Scherr;debest@yahoo.com;+555186935645;534.99;470.79
8007;Anisa Garwood;dmiller@aol.com;+554005249843;949.52;332.33
8046;Slyvia Lonon;tangsh@sbcglobal.net;+553758483419;875.06;822.56
8095;Pete Avalos;ryanvm@gmail.com;+552835832672;96.96;32.97
8051;Ulysses Trantham;weidai@optonline.net;+556036664819;55.00;24.20
8048;Sophie Tassone;ullman@aol.com;+557286204178;534.99;181.90
8042;Idell Oba;duchamp@hotmail.com;;654.45;157.07
8009;Spencer Tomko;alfred@optonline.net;+555592706704;1000.00;770.00
8034;Dotty Edgemon;iapetus@me.com;;345.23;321.06
8050;Elba Wear;privcan@optonline.net;+554402361089;10.00;9.30
8082;Lura Snipe;dgriffith@optonline.net;+557842937392;435.22;56.58
8072;Marissa Burstein;lamprecht@att.net;+557147800209;878.45;579.78
8028;Amina Piotrowski;hahiss@aol.com;+559937115482;10009.00;10009.00
8049;Bill Levron;shrapnull@me.com;;666.00;666.00
8015;Sina Coover;ideguy@verizon.net;+554167221643;645.06;354.78
8083;Jasper Penrose;dhwon@optonline.net;+555384094426;345.09;82.82
8079;Lieselotte Titsworth;konit@live.com;+557678297298;345.12;189.82
8011;Maryjo Forshey;dowdy@sbcglobal.net;;960.89;960.89
8029;Maegan Border;scarolan@outlook.com;+557859002479;654.45;621.73
8014;Janee Mao;monkeydo@verizon.net;+552137551104;23.09;10.16
8092;Rozanne Hickle;madler@live.com;+552843207550;99.90;55.94
8030;Dung Fryman;gbacon@comcast.net;+557919352963;960.89;960.89
8022;Mary Menzel;dwendlan@sbcglobal.net;+553713037398;345.23;265.83
8024;Anh Dunavant;tubesteak@hotmail.com;+559992001908;1000.00;850.00
8088;Marna Bonetti;bonmots@hotmail.com;;12.00;1.68
8089;Rosemarie Guillot;airship@outlook.com;+557813773987;534.99;235.40
8093;Lupita Holford;dmbkiwi@comcast.net;+553756119553;7.00;6.58
8004;Wilton Ploss;oneiros@verizon.net;;56.33;37.18
8090;Chastity Ormiston;gtaylor@msn.com;+555617506195;3453.89;3315.73
8071;Soledad Kehl;sharon@live.com;+552254700314;434.23;403.83
8097;June Limbaugh;sabren@aol.com;;875.06;673.80
8069;Marcia Cutter;lamky@live.com;+553628127899;645.06;645.06
8061;Tristan Schlueter;ilyaz@yahoo.ca;+552509692516;345.23;321.06
8096;Miquel Bridgett;purvis@live.com;+557068361363;645.06;283.83
8018;Eldora Bodin;augusto@me.com;+555754199060;345.04;158.72
8016;Lyndsay Saville;syrinx@verizon.net;+556417689668;666.00;426.24
8035;Ricky London;ilikered@me.com;;343.34;298.71
1000;Cynthia Renee;nulla@sitametconsectetuer.co.uk;+550517027535;75.82;25.78
1001;Kevin Zahir;Cras@justosit.org;+552823664062;44.54;34.30
1002;Marvin Tucker;nec@nislsemconsequat.net;+550590806768;17.12;4.45
1003;Olympia Blake;malesuada@at.edu;+559286333253;6.15;4.12
1004;Wallace Ethan;sem.molestie@urnasuscipit.net;+559943249907;99.76;50.88
1005;Colby Aline;ornare.sagittis@montesnascetur.net;+559688590017;37.98;23.93
1006;Carla Emerald;Suspendisse.aliquet@nonmassa.edu;+555848087730;66.84;2.01
1007;Imogene Briar;sed.turpis@nonvestibulumnec.org;+559578525089;34.16;12.30
1008;Haviva Yoshi;in@consectetueradipiscingelit.edu;+552913217760;67.18;28.89
1009;Winter Honorato;enim.Mauris.quis@elitAliquamauctor.co.uk;+550525019786;88.89;18.67
1010;Gray Idola;congue.In@Fuscealiquam.com;+555056209686;54.27;1.63
1011;Sawyer Angela;libero.dui.nec@acturpisegestas.co.uk;+551526867824;47.56;10.94
1012;Hilel Nyssa;purus@risus.com;+558272359672;47.49;16.62
1013;Nicole Kareem;ante.iaculis@interdum.co.uk;+554129589152;21.49;5.80
1014;Clio Alfonso;luctus.et@leoelementum.edu;+555963224153;62.02;29.77
1015;Anastasia Ahmed;Donec.non.justo@eratSed.org;+557999268828;95.22;78.08
1016;Gabriel Nicholas;Curabitur@tempordiamdictum.net;+556202063879;5.60;1.57
1017;Angela Vernon;non.bibendum@vitae.ca;+559933327608;61.74;46.30
1018;Janna Tate;purus@ipsum.net;+554943714705;66.90;11.37
1019;Lynn Christine;tellus.Aenean@nibh.com;+554845946191;49.86;18.45
1020;Blair Dexter;Mauris@aliquamarcu.org;+553363254822;82.99;8.30
1021;Brenna Sean;semper.et.lacinia@sitamet.net;+552463141191;15.38;15.23
1022;Jared Clark;dolor.Fusce.mi@nullaIn.net;+556787619317;84.07;60.53
1023;Kadeem Hedy;sit@disparturient.edu;+559079539678;63.41;43.75
1024;Quyn Phyllis;quam@egestasnunc.org;+555860134901;55.53;30.54
1025;Audrey Travis;Maecenas.ornare.egestas@nasceturridiculusmus.com;+552292058656;70.12;40.67
1026;Jason Louis;fringilla.Donec@mauris.co.uk;+555233263033;81.51;38.31
1027;Uta Kylee;id.nunc.interdum@facilisiSed.net;+555089652989;71.49;64.34
1028;Nell Ivana;id.blandit@malesuadaInteger.edu;+555101373934;67.47;51.28
1029;Tiger Edan;ante.dictum@nonarcu.edu;+553146216707;20.18;17.96
1030;Mari Prescott;Quisque.nonummy@auctor.edu;+551251490967;15.78;0.63
1031;Neve Evan;Nam.ac.nulla@nislelementumpurus.net;+554651466198;55.66;28.94
1032;Dieter Graiden;sit.amet@Inornare.org;+559056619097;15.68;9.72
1033;Lois Macaulay;sit.amet.metus@Nunc.com;+552482381026;13.23;9.13
1034;Joseph Jesse;euismod@ametorci.org;+559297597400;36.61;27.46
1035;Brian Imelda;Integer.in.magna@duilectusrutrum.edu;+554289015253;7.60;2.43
1036;Cody Daniel;purus.gravida.sagittis@sagittis.ca;+558793574996;85.31;54.60
1037;Kaden Gay;imperdiet.erat.nonummy@quamdignissimpharetra.ca;+553153287551;54.47;28.87
1038;Kareem Kelsie;Fusce@varius.com;+556191063909;82.58;24.77
1039;Raphael Christine;eget@tellusjusto.edu;+559698605501;65.15;27.36
1040;Orlando Octavia;dolor.nonummy.ac@sit.ca;+551547551187;61.49;57.80
1041;Ava Hyacinth;molestie@atsem.co.uk;+555273171420;73.26;42.49
1042;Paul Noble;Etiam@duiinsodales.net;+552688927377;26.63;25.30
1043;Maryam Caldwell;egestas@ipsumprimisin.edu;+554033959215;56.68;49.31
1044;Timon Finn;diam@liberoDonecconsectetuer.co.uk;+557267645824;84.18;79.13
1045;Amethyst Erin;mi.enim@fermentum.com;+557715369353;94.92;42.71
1046;Dexter Quin;sit@euismodetcommodo.net;+551902146816;90.59;56.17
1047;Tobias Orson;et.magnis.dis@Aliquamtincidunt.net;+555895348218;79.01;39.51
1048;Xanthus Amy;tincidunt.congue@loremloremluctus.com;+552431418447;7.38;3.10
1049;Todd Ivor;nec.tempus.scelerisque@lorem.org;+555836487155;36.10;9.03
1050;Aladdin Dustin;luctus.et.ultrices@Nullatinciduntneque.co.uk;+554485868528;89.57;54.64
1051;Caesar Xanthus;arcu.vel.quam@interdumliberodui.ca;+554878956781;56.24;4.50
1052;Madaline Glenna;vel@eu.org;+552556753989;18.40;12.70
1053;Imogene Katelyn;sem@ategestasa.com;+557651840040;99.25;29.78
1054;Maggie Kiona;arcu.et.pede@ametnulla.com;+559346449066;3.37;2.97
1055;Melvin Ginger;in.tempus@et.com;+553973592227;80.31;49.79
1056;Cynthia Tatiana;ipsum.nunc.id@faucibusutnulla.edu;+559229431414;18.43;7.56
1057;Carson Blake;Praesent@luctus.ca;+557277151534;14.43;12.27
1058;Baxter Aspen;dolor.Fusce@arcu.org;+553236724775;40.62;22.34
1059;Clare Drake;nibh@Donecporttitortellus.ca;+556075685958;83.33;65.83
1060;Uriah Burton;facilisis@Maurisvelturpis.edu;+551042046617;2.00;1.78
1061;Graiden Kasper;sed.libero@orcisemeget.co.uk;+552112639792;32.17;24.45
1062;Clark Abraham;ac.metus@arcuVestibulumut.net;+558013191580;52.14;29.72
1063;Janna Geraldine;erat.eget@Etiamgravida.co.uk;+557126739350;14.90;4.17
1064;Coby Xena;ante.Nunc@non.co.uk;+554214989683;12.94;8.15
1065;Kessie Yuli;consectetuer@vulputate.net;+557435426823;81.42;76.53
1066;Reagan Cruz;pede.ultrices@Sed.net;+555356515206;44.89;26.49
1067;Myles Alexander;sit.amet.ultricies@sodales.ca;+556829409457;19.42;6.41
1068;Jason Graiden;Morbi@semperdui.org;+558344242449;10.58;7.51
1069;Brett Miriam;Curae.Phasellus.ornare@facilisis.com;+552750926312;58.35;8.75
1070;Tobias Abraham;dolor.Fusce@etmagnisdis.org;+551131214453;46.95;23.48
1071;Declan Tamara;tempus@vitaeerat.net;+558667187201;71.40;27.85
1072;Patience Casey;ultrices.posuere.cubilia@liberoatauctor.co.uk;+550199860090;16.76;4.02
1073;Tashya Merrill;non.lacinia@magnaSuspendisse.co.uk;+558390639566;4.38;0.66
1074;Martena Solomon;nec@sed.com;+558161013710;59.85;47.88
1075;Rooney Thaddeus;ipsum.dolor.sit@odio.net;+552844320070;66.74;49.39
1076;Minerva Brielle;cursus.in@metusvitae.com;+556347434304;92.27;29.53
1077;Kiara Wang;Mauris.vel@velconvallisin.com;+551572459145;95.46;42.96
1078;Tiger Angelica;consequat.auctor.nunc@ipsumPhasellusvitae.edu;+552711341031;35.05;8.06
1079;Jorden Uriel;vestibulum.neque.sed@libero.co.uk;+558418316188;20.75;15.98
1080;Merritt Simone;velit.Cras.lorem@ipsumPhasellusvitae.com;+551476352230;4.49;0.99
1081;Gail Kermit;est@turpis.org;+552856323137;43.60;36.62
1082;Laith Kato;odio.Etiam@dui.ca;+552757758821;29.50;17.70
1083;Britanni Zelda;gravida.sagittis.Duis@utdolordapibus.co.uk;+557429553543;89.05;10.69
1084;Chanda Nissim;nonummy@liberoduinec.ca;+556776143185;96.80;95.83
1085;Tate Sopoline;in.cursus.et@mattisvelitjusto.co.uk;+552469530488;28.61;18.02
1086;Cameron Herrod;dictum@nislarcu.co.uk;+557953673849;76.62;47.50
1087;Sylvia Raymond;orci.luctus.et@pede.net;+551525832219;56.77;19.30
1088;Jason Zelda;eget.magna@atpede.ca;+553504357946;2.31;1.80
1089;Christen Autumn;hendrerit.neque.In@eleifendnondapibus.co.uk;+556293091043;66.90;14.72
1090;Aline Isaiah;Duis.dignissim.tempor@Duis.net;+552558878261;56.34;54.65
1091;Karleigh Gavin;eu@gravida.ca;+550243309123;87.03;40.03
1092;Penelope Grady;malesuada@rutrumloremac.co.uk;+557001775560;68.37;58.80
1093;Tamara Yael;lacinia.at@Suspendissetristique.ca;+559778499335;44.29;7.97
1094;Steel Darrel;dui.augue@cubiliaCurae.edu;+552500033069;91.66;85.24
1095;Myles Maya;Sed@orci.com;+555047115745;28.48;18.80
1096;Wyoming Reece;nec.eleifend.non@egestas.edu;+552277976444;88.77;63.03
1097;Arden Piper;in.dolor@at.ca;+552836614379;75.06;32.28
1098;Joy Ira;tempor.arcu.Vestibulum@non.ca;+552741473849;73.13;12.43
1099;Colby Ina;amet@gravidasagittisDuis.co.uk;+558278384155;36.56;35.10
1;Channing Hayden;cursus.et.magna@Nullamsuscipitest.ca;+557221444062;96.55;96.55
2;Baker Alea;dapibus@scelerisque.co.uk;+558517300472;93.61;93.61
3;Jack Kylie;dictum.Proin@necenim.net;+552988214445;23.42;23.42
4;Edan Jayme;Vivamus.nibh.dolor@a.edu;+551232889428;78.24;78.24
5;Hanna Kaitlin;dui@nisl.net;+557267553600;4.17;4.17
6;Blaze Trevor;vitae.mauris.sit@id.net;+550824243358;63.69;63.69
7;Chandler Allistair;Fusce.feugiat.Lorem@Duisdignissimtempor.edu;+555302967551;2.79;2.79
8;Ivor Baxter;Nullam.suscipit.est@magnis.com;+550128798121;71.13;71.13
9;Jada Elliott;pede.Praesent.eu@acorci.edu;+557283465762;49.63;49.63
10;Shoshana Maggy;ipsum@aliquamiaculis.org;+559042470324;63.31;63.31
11;Lev Paki;mollis@orci.co.uk;+553334204230;70.30;70.30
12;Fritz Amela;Aliquam.tincidunt@sitamet.org;+552699350758;76.96;76.96
13;Shelley Leigh;sit@Vestibulumante.co.uk;+550286255278;57.74;57.74
14;Gregory August;lobortis.ultrices@Sedmolestie.com;+559364057385;94.33;94.33
15;Kyla Rebekah;lectus.a@malesuada.org;+557518684708;50.29;50.29
16;Lyle Kyle;consectetuer@anteNunc.com;+554100874806;97.15;97.15
17;Tamekah Melvin;vehicula.Pellentesque.tincidunt@duilectusrutrum.co.uk;+556379965688;55.38;55.38
18;Justina Rooney;eu.tempor@felisadipiscingfringilla.org;+554827136393;89.82;89.82
19;Yael Gareth;eget.magna@et.org;+554781621214;24.83;24.83
20;Alec Ariana;ante.ipsum@aliquamarcuAliquam.org;+557499101178;47.07;47.07
21;Vaughan Stephanie;semper@nisidictumaugue.edu;+557527775153;45.00;45.00
22;Kane Scott;nec.imperdiet.nec@nuncrisusvarius.net;+558248299704;0.31;0.31
23;Timon Carter;justo.eu@odioNaminterdum.com;+550851633563;5.88;5.88
