client_id;username;email_client;phone_client;product_value;discount
1000;Cynthia Renee;nulla@sitametconsectetuer.co.uk;(051) 702-7535;75.82;66
1001;Kevin Zahir;Cras@justosit.org;(282) 366-4062;44.54;23
1002;Marvin Tucker;nec@nislsemconsequat.net;(059) 080-6768;17.12;74
1003;Olympia Blake;malesuada@at.edu;(928) 633-3253;6.15;33
1004;Wallace Ethan;sem.molestie@urnasuscipit.net;(994) 324-9907;99.76;49
1005;Colby Aline;ornare.sagittis@montesnascetur.net;(968) 859-0017;37.98;37
1006;Carla Emerald;Suspendisse.aliquet@nonmassa.edu;(584) 808-7730;66.84;97
1007;Imogene Briar;sed.turpis@nonvestibulumnec.org;(957) 852-5089;34.16;64
1008;Haviva Yoshi;in@consectetueradipiscingelit.edu;(291) 321-7760;67.18;57
1009;Winter Honorato;enim.Mauris.quis@elitAliquamauctor.co.uk;(052) 501-9786;88.89;79
1010;Gray Idola;congue.In@Fuscealiquam.com;(505) 620-9686;54.27;97
1011;Sawyer Angela;libero.dui.nec@acturpisegestas.co.uk;(152) 686-7824;47.56;77
1012;Hilel Nyssa;purus@risus.com;(827) 235-9672;47.49;65
1013;Nicole Kareem;ante.iaculis@interdum.co.uk;(412) 958-9152;21.49;73
1014;Clio Alfonso;luctus.et@leoelementum.edu;(596) 322-4153;62.02;52
1015;Anastasia Ahmed;Donec.non.justo@eratSed.org;(799) 926-8828;95.22;18
1016;Gabriel Nicholas;Curabitur@tempordiamdictum.net;(620) 206-3879;5.60;72
1017;Angela Vernon;non.bibendum@vitae.ca;(993) 332-7608;61.74;25
1018;Janna Tate;purus@ipsum.net;(494) 371-4705;66.90;83
1019;Lynn Christine;tellus.Aenean@nibh.com;(484) 594-6191;49.86;63
1020;Blair Dexter;Mauris@aliquamarcu.org;(336) 325-4822;82.99;90
1021;Brenna Sean;semper.et.lacinia@sitamet.net;(246) 314-1191;15.38;1
1022;Jared Clark;dolor.Fusce.mi@nullaIn.net;(678) 761-9317;84.07;28
1023;Kadeem Hedy;sit@disparturient.edu;(907) 953-9678;63.41;31
1024;Quyn Phyllis;quam@egestasnunc.org;(586) 013-4901;55.53;45
1025;Audrey Travis;Maecenas.ornare.egestas@nasceturridiculusmus.com;(229) 205-8656;70.12;42
1026;Jason Louis;fringilla.Donec@mauris.co.uk;(523) 326-3033;81.51;53
1027;Uta Kylee;id.nunc.interdum@facilisiSed.net;(508) 965-2989;71.49;10
1028;Nell Ivana;id.blandit@malesuadaInteger.edu;(510) 137-3934;67.47;24
1029;Tiger Edan;ante.dictum@nonarcu.edu;(314) 621-6707;20.18;11
1030;Mari Prescott;Quisque.nonummy@auctor.edu;(125) 149-0967;15.78;96
1031;Neve Evan;Nam.ac.nulla@nislelementumpurus.net;(465) 146-6198;55.66;48
1032;Dieter Graiden;sit.amet@Inornare.org;(905) 661-9097;15.68;38
1033;Lois Macaulay;sit.amet.metus@Nunc.com;(248) 238-1026;13.23;31
1034;Joseph Jesse;euismod@ametorci.org;(929) 759-7400;36.61;25
1035;Brian Imelda;Integer.in.magna@duilectusrutrum.edu;(428) 901-5253;7.60;68
1036;Cody Daniel;purus.gravida.sagittis@sagittis.ca;(879) 357-4996;85.31;36
1037;Kaden Gay;imperdiet.erat.nonummy@quamdignissimpharetra.ca;(315) 328-7551;54.47;47
1038;Kareem Kelsie;Fusce@varius.com;(619) 106-3909;82.58;70
1039;Raphael Christine;eget@tellusjusto.edu;(969) 860-5501;65.15;58
1040;Orlando Octavia;dolor.nonummy.ac@sit.ca;(154) 755-1187;61.49;6
1041;Ava Hyacinth;molestie@atsem.co.uk;(527) 317-1420;73.26;42
1042;Paul Noble;Etiam@duiinsodales.net;(268) 892-7377;26.63;5
1043;Maryam Caldwell;egestas@ipsumprimisin.edu;(403) 395-9215;56.68;13
1044;Timon Finn;diam@liberoDonecconsectetuer.co.uk;(726) 764-5824;84.18;6
1045;Amethyst Erin;mi.enim@fermentum.com;(771) 536-9353;94.92;55
1046;Dexter Quin;sit@euismodetcommodo.net;(190) 214-6816;90.59;38
1047;Tobias Orson;et.magnis.dis@Aliquamtincidunt.net;(589) 534-8218;79.01;50
1048;Xanthus Amy;tincidunt.congue@loremloremluctus.com;(243) 141-8447;7.38;58
1049;Todd Ivor;nec.tempus.scelerisque@lorem.org;(583) 648-7155;36.10;75
1050;Aladdin Dustin;luctus.et.ultrices@Nullatinciduntneque.co.uk;(448) 586-8528;89.57;39
1051;Caesar Xanthus;arcu.vel.quam@interdumliberodui.ca;(487) 895-6781;56.24;92
1052;Madaline Glenna;vel@eu.org;(255) 675-3989;18.40;31
1053;Imogene Katelyn;sem@ategestasa.com;(765) 184-0040;99.25;70
1054;Maggie Kiona;arcu.et.pede@ametnulla.com;(934) 644-9066;3.37;12
1055;Melvin Ginger;in.tempus@et.com;(397) 359-2227;80.31;38
1056;Cynthia Tatiana;ipsum.nunc.id@faucibusutnulla.edu;(922) 943-1414;18.43;59
1057;Carson Blake;Praesent@luctus.ca;(727) 715-1534;14.43;15
1058;Baxter Aspen;dolor.Fusce@arcu.org;(323) 672-4775;40.62;45
1059;Clare Drake;nibh@Donecporttitortellus.ca;(607) 568-5958;83.33;21
1060;Uriah Burton;facilisis@Maurisvelturpis.edu;(104) 204-6617;2.00;11
1061;Graiden Kasper;sed.libero@orcisemeget.co.uk;(211) 263-9792;32.17;24
1062;Clark Abraham;ac.metus@arcuVestibulumut.net;(801) 319-1580;52.14;43
1063;Janna Geraldine;erat.eget@Etiamgravida.co.uk;(712) 673-9350;14.90;72
1064;Coby Xena;ante.Nunc@non.co.uk;(421) 498-9683;12.94;37
1065;Kessie Yuli;consectetuer@vulputate.net;(743) 542-6823;81.42;6
1066;Reagan Cruz;pede.ultrices@Sed.net;(535) 651-5206;44.89;41
1067;Myles Alexander;sit.amet.ultricies@sodales.ca;(682) 940-9457;19.42;67
1068;Jason Graiden;Morbi@semperdui.org;(834) 424-2449;10.58;29
1069;Brett Miriam;Curae.Phasellus.ornare@facilisis.com;(275) 092-6312;58.35;85
1070;Tobias Abraham;dolor.Fusce@etmagnisdis.org;(113) 121-4453;46.95;50
1071;Declan Tamara;tempus@vitaeerat.net;(866) 718-7201;71.40;61
1072;Patience Casey;ultrices.posuere.cubilia@liberoatauctor.co.uk;(019) 986-0090;16.76;76
1073;Tashya Merrill;non.lacinia@magnaSuspendisse.co.uk;(839) 063-9566;4.38;85
1074;Martena Solomon;nec@sed.com;(816) 101-3710;59.85;20
1075;Rooney Thaddeus;ipsum.dolor.sit@odio.net;(284) 432-0070;66.74;26
1076;Minerva Brielle;cursus.in@metusvitae.com;(634) 743-4304;92.27;68
1077;Kiara Wang;Mauris.vel@velconvallisin.com;(157) 245-9145;95.46;55
1078;Tiger Angelica;consequat.auctor.nunc@ipsumPhasellusvitae.edu;(271) 134-1031;35.05;77
1079;Jorden Uriel;vestibulum.neque.sed@libero.co.uk;(841) 831-6188;20.75;23
1080;Merritt Simone;velit.Cras.lorem@ipsumPhasellusvitae.com;(147) 635-2230;4.49;78
1081;Gail Kermit;est@turpis.org;(285) 632-3137;43.60;16
1082;Laith Kato;odio.Etiam@dui.ca;(275) 775-8821;29.50;40
1083;Britanni Zelda;gravida.sagittis.Duis@utdolordapibus.co.uk;(742) 955-3543;89.05;88
1084;Chanda Nissim;nonummy@liberoduinec.ca;(677) 614-3185;96.80;1
1085;Tate Sopoline;in.cursus.et@mattisvelitjusto.co.uk;(246) 953-0488;28.61;37
1086;Cameron Herrod;dictum@nislarcu.co.uk;(795) 367-3849;76.62;38
1087;Sylvia Raymond;orci.luctus.et@pede.net;(152) 583-2219;56.77;66
1088;Jason Zelda;eget.magna@atpede.ca;(350) 435-7946;2.31;22
1089;Christen Autumn;hendrerit.neque.In@eleifendnondapibus.co.uk;(629) 309-1043;66.90;78
1090;Aline Isaiah;Duis.dignissim.tempor@Duis.net;(255) 887-8261;56.34;3
1091;Karleigh Gavin;eu@gravida.ca;(024) 330-9123;87.03;54
1092;Penelope Grady;malesuada@rutrumloremac.co.uk;(700) 177-5560;68.37;14
1093;Tamara Yael;lacinia.at@Suspendissetristique.ca;(977) 849-9335;44.29;82
1094;Steel Darrel;dui.augue@cubiliaCurae.edu;(250) 003-3069;91.66;7
1095;Myles Maya;Sed@orci.com;(504) 711-5745;28.48;34
